ncb,month,stock_eur_m,approx_share,portfolio_yield_pct,ref_pct,carry_eur_m_pa,key_share,carry_per_keypp_eur_m_pa,carry_per_keypp_demeaned
AT,2015-03-01,1080.888888888889,1.0,0.056997268543302615,0.05,0.07563269821027535,0.029565,0.025581836025799203,-1.2212553574942486
AT,2015-04-01,2152.0,1.0,0.0433507466105336,0.05,-0.14309193294131703,0.029565,-0.04839909789998885,-2.851758605084496
AT,2015-05-01,3320.0,1.0,0.12821095066779878,0.05,2.596603562170919,0.029565,0.8782694274212478,-4.86405293644169
AT,2015-06-01,4484.444444444444,1.0,0.22111023008431768,0.05,7.673343206892291,0.029565,2.595414580379601,-6.818333615518779
AT,2015-07-01,5696.0,1.0,0.28196534884917146,0.05,13.212746270448806,0.029565,4.469049981548725,-7.975841282904232
AT,2015-08-01,6641.777777777777,1.0,0.3035500046678031,0.05,16.840227865580662,0.029565,5.696001307485425,-8.838111482761466
AT,2015-09-01,7778.666666666666,1.0,0.32379615554934055,0.05,21.297690286331367,0.029565,7.20368350628492,-9.839373455088397
AT,2015-10-01,8955.555555555555,1.0,0.32454479526491975,0.05,24.587011664836144,0.029565,8.31625627087304,-11.486151623742867
AT,2015-11-01,10209.777777777777,1.0,0.3189034636768741,0.05,27.45444607815623,0.029565,9.286130924456698,-13.23358032258586
AT,2015-12-01,11236.444444444443,1.0,0.32223740616253993,0.05,30.58980490045037,0.029565,10.346627735650387,-13.768378262054878
AT,2016-01-01,12434.666666666666,1.0,0.31434741774530905,0.05,32.87072023857003,0.029565,11.118119478630147,-15.03009655710465
AT,2016-02-01,13642.666666666666,1.0,0.2918189385380853,0.05,32.990551721622516,0.029565,11.15865101357095,-16.855042241554248
AT,2016-03-01,14845.333333333332,1.0,0.2669956432112201,0.0241935483870967,36.0447803169572,0.029565,12.191706516812854,-18.36578252381622
AT,2016-04-01,16676.444444444445,1.0,0.2338331066888767,0.0,38.99504812968903,0.029565,13.189598555619492,-20.703777222275235
AT,2016-05-01,18578.666666666664,1.0,0.2060523594993644,0.0,38.281781030188576,0.029565,12.948344674509919,-23.4099575671789
AT,2016-06-01,20222.222222222223,1.0,0.18908552583837923,0.0,38.23729522509447,0.029565,12.933297894501765,-25.714596812629857
AT,2016-07-01,21891.555555555555,1.0,0.16301719189318667,0.0,35.68699912840357,0.029565,12.07069140145563,-27.49501781418952
AT,2016-08-01,23095.11111111111,1.0,0.14394171766621938,0.0,33.243499630255215,0.029565,11.244207552935976,-28.742445323545432
AT,2016-09-01,24769.777777777777,1.0,0.12301367432806379,0.0,30.47021376734067,0.029565,10.306177496140933,-30.303469061337665
AT,2016-10-01,26511.11111111111,1.0,0.11034240785920395,0.0,29.252998350228953,0.029565,9.894469254263132,-31.79151388016604
AT,2016-11-01,28182.22222222222,1.0,0.11300657802353019,0.0,31.847764944320215,0.029565,10.772117349677055,-33.11635246157072
